name,id,bio,profile_pic
Mark P. O. Morford,1,,
Richard Bruce Wright,2,,
Carlo D'Este,3,,
Gina Bari Kolata,4,,
E. J. W. Barber,5,,
Amy Tan,6,,
Robert Cowley,7,,
Scott Turow,8,,
David Cordingly,9,,
Ann Beattie,10,,
David Adams Richards,11,,
Adam Lebor,12,,
Sheila Heti,13,,
R. J. Kaiser,14,,
Jack Canfield,15,,
Loren D. Estleman,16,,
Robert Hendrickson,17,,
Julia Oliver,18,,
John Grisham,19,,
Toni Morrison,20,,
The Onion,21,,
Celia Brooks Brown,22,,
J. R. Parrish,23,,
Mary-Kate & Ashley Olsen,24,,
Robynn Clairday,25,,
Kathleen Duey,26,,
Rich Shapero,27,,
Michael Crichton,28,,
MICHAEL CRICHTON,29,,
C.S. Lewis,30,,
ARTHUR PHILLIPS,31,,
Stephan Jaramillo,32,,
Mordecai Richler,33,,
Eleanor Cooney,34,,
Charlotte Link,35,,
Richard North Patterson,36,,
Mark Salzman,37,,
Harper Lee,38,,
LAURA HILLENBRAND,39,,
Barbara Kingsolver,40,,
Jo Dereske,41,,
Jane Austen,42,,
Dolores Krieger,43,,
Anne Rivers Siddons,44,,
Dean R. Koontz,45,,
Mary Higgins Clark,46,,
Dean Koontz,47,,
Patricia Cornwell,48,,
J.D. Robb,49,,
Maeve Binchy,50,,
Laura J. Mixon,51,,
Tim Lahaye,52,,
JOHN GRISHAM,53,,
M.D. Bernie S. Siegel,54,,
Robert Penn Warren,55
Hans Johannes Hoefer,56
Mark Helprin,57
O. Carol Simonton Md,58
Chuck Hill,59
David Iglehart,60
Larry McMurtry,61
SUZANNE FISHER STAPLES,62
Michel Tournier,63
Carl Sagan,64
Aleksandr Zinoviev,65
Anne Tyler,66
Joseph Conrad,67
Deepak Chopra,68
Thomas Hardy,69
Charles Noland,70
Valerie Frankel,71
Benjamin Hoff,72
Niccolo Machiavelli,73
H. Jackson Brown,74
Robert A. Heinlein,75
PHILIP PULLMAN,76
Anna Sewell,77
MICHAEL ONDAATJE,78
Sandra Levy Ceren,79
P.J. O'Rourke,80
Mike Gayle,81
Stel Pavlou,82
Sarah Payne Stuart,83
Dan Quayle,84
Donald F. Kettl,85
DAVID FRUM,86
Louis Lamour,87
J.D. Salinger,88
J. R. R. Tolkien,89
John Berendt,90
Jennifer Crusie,91
Jane Heller,92
Michael Rips,93
Simon Mawer,94
William Abrahams,95
Robert T. Kiyosaki,96
Ken Follett,97
John F. Love,98
Robert G. Allen,99
LOUIS DE BERNIERES,100
Pam Proctor,101
Mitch Albom,102
Irene Gonzalez Frei,103
Michael Jan Friedman,104
Glendon Swarthout,105
Neal Barrett Jr.,106
David Morrell,107
Sandra Brown,108
James Patterson,109
Stuart Woods,110
IRIS JOHANSEN,111
Dan Brown,112
Joe Hutsko,113
Anita Shreve,114
Ann Rule,115
LEWIS GRIZZARD,116
Paul Theroux,117
Lewis Grizzard,118
Charles Hickey,119
Stephen King,120
Ben Mezrich,121
Bill Hand,122
Tom Clancy,123
DANA REEVE,124
Roy,125
Barbara Metzger,126
Gabriel Garcia Marquez,127
Rebecca Wells,128
Tony Hillerman,129
Robert James Waller,130
Rachel Harris,131
IAN MCEWAN,132
Michael Lewis,133
Richard Zimler,134
Norman Jetmundsen,135
Lorenzo Carcaterra,136
Anne Frasier,137
Kay Hooper,138
Soren Kierkegaard,139
Jose Ortega Y Gaset,140
Daphne Du Maurier,141
Nathaniel Hawthorne,142
Nick Page,143
Laura Wolf,144
LOIS DUNCAN,145
Susan Grant,146
Barbara Vine,147
Shirley Rousseau Murphy,148
Jane Lindskold,149
Betty Smith,150
Cybill Shepherd,151
Stewart O'Nan,152
David Baldacci,153
Douglas Adams,154
Mary Lawson,155
Willa Cather,156
Olivia Goldsmith,157
Helen Fielding,158
Franklin W. Dixon,159
Lilian Jackson Braun,160
Holly Virden,161
H. Norman Wright,162
Piers Anthony,163
RAY BRADBURY,164
Schiller,165
Ray Bradbury,166
Raymond Chandler,167
Paolo Coelho,168
Fay Weldon,169
Arabella Weir,170
Kiana Davenport,171
Sue Townsend,172
Renan Demirkan,173
Michael Moore,174
Jonathan Franzen,175
Jerome D. Salinger,176
James Joyce,177
Joanna Trollope,178
Milan Kundera,179
Arundhati Roy,180
Robert S. Levinson,181
Lorna Landvik,182
Arthur Golden,183
KENT HARUF,184
Patricia D. Cornwell,185
Carol J. Farley,186
Kathleen E. Woodiwiss,187
Belva Plain,188
MARK HADDON,189
ANN BRASHARES,190
Erich Segal,191
Elizabeth Adler,192
Nicholas Sparks,193
JOHN SAUL,194
LORNA LANDVIK,195
Steve Thayer,196
Tracy Chevalier,197
Judith Kelman,198
Michael Palmer,199
Francine Hughes,200
Norman Bridwell,201
Frank McCourt,202
Malachy McCourt,203
Mari Sandoz,204
Anne Perry,205
ALEXANDER MCCALL SMITH,206
Gregory Maguire,207
Yann Martel,208
Ruth Rendell,209
Al Franken,210
DONNA TARTT,211
John Milne,212
Terry Pratchett,213
E. B. White,214
J. M. Barrie,215
Mary O'Hara,216
Louise Rennison,217
Kenneth Grahame,218
Bernard Cornwell,219
Charles de Lint,220
Edward John Moreton Drax Plunkett Dunsany,221
Georgette Heyer,222
OSCAR WILDE,223
Ted Hughes,224
ROALD DAHL,225
Donna Jo Napoli,226
A. S. Byatt,227
Tanuja Desai Hidier,228
SOPHIE KINSELLA,229
Isabel Wolff,230
Louisa May Alcott,231
George Orwell,232
Charles Dickens,233
Isabel Allende,234
Ellen Datlow,235
A.S. BYATT,236
Joseph Heller,237
John Galsworthy,238
Enid Blyton,239
Neil Gaiman,240
Alan Moore,241
Trudy Suggs,242
Tom Wolfe,243
Brady Udall,244
Homer Hickam,245
Pearl Abraham,246
Sebastian Junger,247
Karen Armstrong,248
Mary Barnard,249
David Brin,250
T. Coraghessan Boyle,251
Paul Woodruff,252
Lynda Madaras,253
Stephen McCauley,254
Isabelle Holland,255
Pam Conrad,256
Lurlene McDaniel,257
Brian Kaufman,258
John Darnton,259
Martin Schenk,260
DAVID EDDINGS,261
Paul Reiser,262
David G. Hartwell,263
Dave Barry,264
John R. Holt,265
Theodore Beale,266
Frank M. Robinson,267
Mary Jane Clark,268
Mary Wollstonecraft Shelley,269
Isabel-Clara SimÃ³,270
Robert Westall,271
Robert B. Parker,272
Rita Chapman Works,273
A. Manette Ansay,274
Sarah Waters,275
Anne Frank,276
Barry Lopez,277
Greg Palast,278
Andrea Kane,279
Nevada Barr,280
Paul Auster,281
Margaret Maron,282
EDNA BARKER,283
Muriel Whitaker,284
John Irving,285
Golding,286
HarperReference,287
LTD,288
Ann Patchett,289
Roald Dahl,290
Sue Monk Kidd,291
Bob Thiele,292
Colleen McCullough,293
Joanne Harris,294
Thomas Cahill,295
Michael Hudson,296
Jane Smiley,297
Dick Francis,298
Nora Roberts,299
Jean Marzollo,300
Walter Wick,301
Barbara Delinsky,302
P. D. James,303
Arthur William Upfield,304
Christopher Rice,305
Rex Stout,306
Joan Anderson,307
Vance Havner,308
Warren W. Wiersbe,309
Max Lucado,310
Lawrence J Crabb,311
Barry Neil Kaufman,312
Bob Sjogren,313
Frederick J. Moody,314
Neal Pirolo,315
William Sleator,316
Antoine de Saint-ExupÃ©ry,317
Richard Bach,318
Kevin Sullivan,319
Michele Morgan,320
"Scott, Cunningham",321
David Allen Hulse,322
Richard Webster,323
Bernard King,324
Pat Hutchins,325
William Shakespeare,326
Melissa McClone,327
Cheryl St. John,328
Lewis Carroll,329
Mark Twain,330
Dog Mary Crow,331
Linda Gordon,332
Florence King,333
Alice Sebold,334
Spalding Gray,335
Thomas Harris,336
EDWARD RUTHERFURD,337
Margaret Atwood,338
Dorothy Allison,339
MAYA ANGELOU,340
Edith Wharton,341
Mary Brave Bird,342
John G. Neihardt,343
Roland Warren,344
Johnny Molloy,345
James McCourt,346
Elizabeth Wurtzel,347
Bill Bradley,348
Don Miguel Ruiz,349
Luis Racionero,350
Eugeni Perea SimÃ³n,351
Thomas Hauser,352
VicenÃ§ Villatoro,353
VÃ­ctor Mora,354
Elena Castedo,355
OfÃ¨lia Dracs,356
Antoni Serra,357
M. Carme Junyent,358
Jaume CapÃ³,359
MÃ rius Serra,360
Ferran Torrent,361
Joan Agut,362
Carmen Rico-Godoy,363
Maria JaÃ©n,364
Paul Lester,365
Leo Tolstoy,366
Simon Nye,367
Robert A Johnson,368
Horacio Vazquez-Rial,369
Marc Gascoigne,370
Stephanie Maze,371
Sandra Dallas,372
Anne McCaffrey,373
David Gemmell,374
Laura Zigman,375
Margaret Truman,376
Nic Kynaston,377
Paula Danziger,378
Richard A. Lupoff,379
Carrie Bebris,380
Ellen Carol Dubois,381
Candice F. Ransom,382
Sam Bobrick,383
Donna K Grosvenor,384
NATHANIEL HAWTHORNE,385
Valerie Block,386
Luanne Rice,387
Ellen Gilchrist,388
JOHN IRVING,389
TIM GAUTREAUX,390
Richard Russo,391
Jostein Gaarder,392
ANNA QUINDLEN,393
Diane Johnson,394
DEAN KOONTZ,395
Wally Lamb,396
Adeline Yen Mah,397
Barbara Ehrenreich,398
DOROTHY DUNNETT,399
JOHN LE CARRE,400
A. C. Gordon,401
Emily Dickinson,402
Hazel Harrison,403
Joseph Girzone,404
JOSEPH GIRZONE,405
Lorraine Anderson,406
AD HUDLER,407
Josephine Carlton,408
Ted L. Nancy,409
Francis Wheen,410
Joyce Reardon,411
Sidney Sheldon,412
Christopher Moore,413
