user_id,book_id,rating,id,content
276725,2967.0,0,1,
276726,,5,2,
276727,11029.0,0,3,
276729,,3,4,
276729,,6,5,
276733,,0,6,
276736,,8,7,
276737,,6,8,
276744,9270.0,7,9,
276745,,10,10,
276746,2031.0,0,11,
276746,228.0,0,12,
276746,1005.0,0,13,
276746,597.0,0,14,
276746,,0,15,
276746,,0,16,
276747,4780.0,9,17,
276747,25772.0,0,18,
276747,7129.0,0,19,
276747,1837.0,9,20,
276747,6277.0,8,21,
276747,,7,22,
276747,,0,23,
276747,,7,24,
276748,,6,25,
276748,,0,26,
276751,,0,27,
276751,,8,28,
276754,1987.0,8,29,
276755,103.0,5,30,
276760,,10,31,
276762,,0,32,
276762,,0,33,
276762,7793.0,5,34,
276762,6097.0,0,35,
276762,,0,36,
276762,,0,37,
276762,,0,38,
276762,,0,39,
276762,,0,40,
276762,,0,41,
276762,,0,42,
276762,,0,43,
276762,,0,44,
276762,4885.0,8,45,
276762,,0,46,
276762,,0,47,
276762,,0,48,
276762,,0,49,
276762,,3,50,
276762,,0,51,
276762,,0,52,
276762,,0,53,
276762,,0,54,
276762,,0,55,
276762,,4,56,
276765,,0,57,
276768,,4,58,
276772,,0,59,
276772,,7,60,
276772,,0,61,
276772,,10,62,
276772,,10,63,
276774,,0,64,
276774,,0,65,
276774,,0,66,
276774,,9,67,
276774,,0,68,
276780,,0,69,
276780,,7,70,
276780,,7,71,
276786,,6,72,
276786,,0,73,
276786,,0,74,
276786,,0,75,
276786,,0,76,
276786,,0,77,
276786,,8,78,
276786,,0,79,
276786,,6,80,
276786,,0,81,
276786,,6,82,
276786,,0,83,
276788,2239.0,8,84,
276788,5507.0,7,85,
276788,19967.0,10,86,
276796,167.0,5,87,
276796,,0,88,
276798,,5,89,
276798,,0,90,
276798,,7,91,
276798,,0,92,
276798,,0,93,
276798,,0,94,
276798,,0,95,
276798,,0,96,
276798,,0,97,
276798,3218.0,6,98,
276798,,0,99,
276798,,0,100,
276800,7072.0,0,101,
276800,25359.0,0,102,
276800,2782.0,0,103,
276800,,0,104,
276800,8386.0,0,105,
276800,,7,106,
276803,,0,107,
276804,1814.0,0,108,
276804,,0,109,
276804,16756.0,8,110,
276806,,0,111,
276806,,0,112,
276808,,10,113,
276811,5732.0,10,114,
276812,,8,115,
